id,name,email,password,status,roleLevel
A00001,Dang Thi Tam,dangthitam42@gmail.com,pass123,APPROVED,1
A00002,Hoang Tuan Uyen,hoangtuanuyen39@gmail.com,pass123,APPROVED,1
A00003,Vu Hai Phuc,vuhaiphuc19@gmail.com,pass123,APPROVED,1
A00004,Phan Tuan Phuong,phantuanphuong96@gmail.com,pass123,APPROVED,1
A00005,Ngo Thu Van,ngothuvan84@gmail.com,pass123,APPROVED,1
A00006,Vo Hong Cuong,vohongcuong75@gmail.com,pass123,APPROVED,1
A00007,Truong Xuan Phuc,truongxuanphuc12@gmail.com,pass123,APPROVED,1
A00008,Do Hai Binh,dohaibinh88@gmail.com,pass123,APPROVED,1
A00009,Pham Gia Tam,phamgiatam54@gmail.com,pass123,APPROVED,1
A00010,Dang Van Nghia,dangvannghia62@gmail.com,pass123,APPROVED,1
