id,name,email,password,status,storeName
S00001,Phan Thu Thao,phanthuthao5@gmail.com,pass123,APPROVED,Phan Thu Thao Store
S00002,Duong Van Vy,duongvanvy36@gmail.com,pass123,APPROVED,Duong Van Vy Store
S00003,Vu Thi Tam,vuthitam50@gmail.com,pass123,APPROVED,Vu Thi Tam Store
S00004,Nguyen Gia Trang,nguyengiatrang0@gmail.com,pass123,APPROVED,Nguyen Gia Trang Store
S00005,Tran Gia An,trangiaan99@gmail.com,pass123,APPROVED,Tran Gia An Store
S00006,Pham Ngoc Vy,phamngocvy3@gmail.com,pass123,APPROVED,Pham Ngoc Vy Store
S00007,Vo Xuan Nghia,voxuannghia96@gmail.com,pass123,APPROVED,Vo Xuan Nghia Store
S00008,Ho Mai Tam,homaitam65@gmail.com,pass123,APPROVED,Ho Mai Tam Store
S00009,Vu Mai Trang,vumaitrang70@gmail.com,pass123,APPROVED,Vu Mai Trang Store
S00010,Vu Xuan Nhi,vuxuannhi53@gmail.com,pass123,APPROVED,Vu Xuan Nhi Store
S00011,Vu Minh Dung,vuminhdung77@gmail.com,pass123,APPROVED,Vu Minh Dung Store
S00012,Vu Van Thang,vuvanthang44@gmail.com,pass123,APPROVED,Vu Van Thang Store
S00013,Phan Ngoc Lam,phanngoclam4@gmail.com,pass123,APPROVED,Phan Ngoc Lam Store
S00014,Truong Van Tuan,truongvantuan13@gmail.com,pass123,APPROVED,Truong Van Tuan Store
S00015,Nguyen Gia Van,nguyengiavan81@gmail.com,pass123,APPROVED,Nguyen Gia Van Store
S00016,Huynh Minh Thang,huynhminhthang48@gmail.com,pass123,APPROVED,Huynh Minh Thang Store
S00017,Hoang Duc An,hoangducan19@gmail.com,pass123,APPROVED,Hoang Duc An Store
S00018,Bui Mai Khoa,buimaikhoa25@gmail.com,pass123,APPROVED,Bui Mai Khoa Store
S00019,Nguyen Duc Trang,nguyenductrang50@gmail.com,pass123,APPROVED,Nguyen Duc Trang Store
S00020,Huynh Hoang Phuong,huynhhoangphuong0@gmail.com,pass123,APPROVED,Huynh Hoang Phuong Store
S00021,Pham Mai Thanh,phammaithanh3@gmail.com,pass123,APPROVED,Pham Mai Thanh Store
S00022,Pham Hong Lam,phamhonglam12@gmail.com,pass123,APPROVED,Pham Hong Lam Store
S00023,Nguyen Quynh Dat,nguyenquynhdat74@gmail.com,pass123,APPROVED,Nguyen Quynh Dat Store
S00024,Truong Mai Linh,truongmailinh2@gmail.com,pass123,APPROVED,Truong Mai Linh Store
S00025,Phan Mai Nhi,phanmainhi29@gmail.com,pass123,APPROVED,Phan Mai Nhi Store
S00026,Ho Van Ha,hovanha60@gmail.com,pass123,APPROVED,Ho Van Ha Store
S00027,Bui Thu Phuc,buithuphuc59@gmail.com,pass123,APPROVED,Bui Thu Phuc Store
S00028,Ho Quynh Nhi,hoquynhnhi83@gmail.com,pass123,APPROVED,Ho Quynh Nhi Store
S00029,Truong Thu Khanh,truongthukhanh28@gmail.com,pass123,APPROVED,Truong Thu Khanh Store
S00030,Bui Thu Dung,buithudung31@gmail.com,pass123,APPROVED,Bui Thu Dung Store
S00031,Do Tuan Dat,dotuandat41@gmail.com,pass123,APPROVED,Do Tuan Dat Store
S00032,Tran Hong Tuan,tranhongtuan88@gmail.com,pass123,APPROVED,Tran Hong Tuan Store
S00033,Bui Thanh Anh,buithanhanh22@gmail.com,pass123,APPROVED,Bui Thanh Anh Store
S00034,Tran Duc Thang,tranducthang89@gmail.com,pass123,APPROVED,Tran Duc Thang Store
S00035,Pham Gia Binh,phamgiabinh42@gmail.com,pass123,APPROVED,Pham Gia Binh Store
S00036,Vu Hoang Tu,vuhoangtu19@gmail.com,pass123,APPROVED,Vu Hoang Tu Store
S00037,Ho Mai Kien,homaikien63@gmail.com,pass123,APPROVED,Ho Mai Kien Store
S00038,Ho Quynh Thang,hoquynhthang27@gmail.com,pass123,APPROVED,Ho Quynh Thang Store
S00039,Do Thi Quan,dothiquan28@gmail.com,pass123,APPROVED,Do Thi Quan Store
S00040,Do Duc Quang,doducquang5@gmail.com,pass123,APPROVED,Do Duc Quang Store
S00041,Truong Hong Thang,truonghongthang32@gmail.com,pass123,APPROVED,Truong Hong Thang Store
S00042,Vo Hoang Dung,vohoangdung25@gmail.com,pass123,APPROVED,Vo Hoang Dung Store
S00043,Dang Tuan Khoa,dangtuankhoa26@gmail.com,pass123,APPROVED,Dang Tuan Khoa Store
S00044,Ngo Xuan Nhung,ngoxuannhung33@gmail.com,pass123,APPROVED,Ngo Xuan Nhung Store
S00045,Duong Hai Tu,duonghaitu56@gmail.com,pass123,APPROVED,Duong Hai Tu Store
S00046,Do Gia Tu,dogiatu20@gmail.com,pass123,APPROVED,Do Gia Tu Store
S00047,Vu Minh Phuong,vuminhphuong58@gmail.com,pass123,APPROVED,Vu Minh Phuong Store
S00048,Bui Mai Thao,buimaithao67@gmail.com,pass123,APPROVED,Bui Mai Thao Store
S00049,Ly Ngoc Hung,lyngochung6@gmail.com,pass123,APPROVED,Ly Ngoc Hung Store
S00050,Bui Quynh Lam,buiquynhlam16@gmail.com,pass123,APPROVED,Bui Quynh Lam Store
