user_id,username,email,phone,created_at
1,trang.ho549,trang.ho549@outlook.com.vn,0906898165,2024-10-04 04:27:06
2,ngo_k_nam29,ngo_k_nam29@fpt.edu.vn,0357188155,2024-06-26 04:45:16
3,leducbinh36,leducbinh36@outlook.com.vn,0777205662,2024-04-02 22:02:35
4,phamminhhai23,phamminhhai23@yahoo.com,0973924788,2025-10-14 11:58:06
5,hoang_h_linh89,hoang_h_linh89@hotmail.com,0916683147,2025-11-17 04:47:18
6,binh.phan319,binh.phan319@yahoo.com,0978308618,2024-11-07 11:57:17
7,vokhanhnam55,vokhanhnam55@hotmail.com,0869043409,2025-04-25 04:10:07
8,mai.hoang817,mai.hoang817@outlook.com.vn,0707899518,2024-12-07 09:20:06
9,huynh_c_kien17,huynh_c_kien17@outlook.com.vn,0701887221,2025-11-16 03:24:32
10,nguyen_t_yen77,nguyen_t_yen77@gmail.com,0703307218,2024-05-27 08:24:36
11,leminhyen35,leminhyen35@gmail.com,0974068717,2025-09-03 12:47:36
12,le_c_linh40,le_c_linh40@gmail.com,0911330513,2025-09-12 03:26:22
13,duongvantrang53,duongvantrang53@gmail.com,0772252868,2024-12-13 18:37:02
14,tranducquynh37,tranducquynh37@outlook.com.vn,0352624780,2024-02-27 03:29:19
15,huynh_d_huong30,huynh_d_huong30@hotmail.com,0350876632,2025-02-13 22:12:45
16,hoang_d_vy90,hoang_d_vy90@hotmail.com,0963999267,2024-04-22 07:28:33
17,hung.phan967,hung.phan967@yahoo.com,0989837889,2024-11-05 08:54:15
18,phamducphong95,phamducphong95@fpt.edu.vn,0327567547,2024-12-07 07:53:16
19,bui_v_anh84,bui_v_anh84@fpt.edu.vn,0384344528,2024-09-28 14:54:45
20,duongducquan66,duongducquan66@fpt.edu.vn,0355744914,2024-09-24 00:52:52
21,buikhanhbinh99,buikhanhbinh99@outlook.com.vn,0971730097,2025-03-25 07:03:16
22,quynh.dang543,quynh.dang543@hotmail.com,0895764652,2024-04-14 05:31:43
23,vu_d_tuan49,vu_d_tuan49@gmail.com,0357953711,2025-07-05 13:26:44
24,phanducmai78,phanducmai78@outlook.com.vn,0353834409,2025-07-19 10:54:58
25,huynh_v_anh99,huynh_v_anh99@hotmail.com,0978657939,2025-09-13 05:00:52
26,thao.duong352,thao.duong352@gmail.com,0893680180,2024-01-07 16:59:45
27,phamducthao65,phamducthao65@hotmail.com,0969165992,2025-04-17 17:06:06
28,huynhthiquan47,huynhthiquan47@outlook.com.vn,0963956250,2024-11-05 01:43:23
29,vuduyphong78,vuduyphong78@yahoo.com,0381628125,2025-05-10 09:52:02
30,vovantuan17,vovantuan17@gmail.com,0707569781,2025-05-17 18:55:16
31,phanthituan65,phanthituan65@gmail.com,0965892487,2024-07-13 17:07:20
32,duongvietanh85,duongvietanh85@hotmail.com,0381738756,2024-01-17 19:48:58
33,do_h_phuong63,do_h_phuong63@hotmail.com,0359339330,2025-09-24 16:34:12
34,huynh_t_lan78,huynh_t_lan78@outlook.com.vn,0326503065,2024-08-11 09:24:22
35,danghoangtuan80,danghoangtuan80@fpt.edu.vn,0986877044,2025-06-27 03:29:27
36,nguyen_c_hung86,nguyen_c_hung86@gmail.com,0325415854,2025-06-13 13:28:56
37,anh.do800,anh.do800@gmail.com,0774420974,2025-01-17 05:58:10
